flight_time,distance_to_goal,success,collision,termination_reason,gui,walls,hole_width,hole_height,padding,run_id
1.487499999999996,5.853373561697123,False,True,collision,False,3,0.45,0.55,0.03,1
4.620833333333391,3.31695769273513,False,True,collision,False,3,0.45,0.45,0.07,4
11.599999999999662,0.09919072050019952,True,False,goal_reached,False,3,0.45,0.45,0.05,0
5.454166666666677,3.2323334391311045,False,True,collision,False,3,0.45,0.55,0.03,2
5.162500000000027,3.189447689159402,False,True,collision,False,3,0.45,0.55,0.03,3
3.700000000000079,3.952030069197187,False,True,collision,False,3,0.45,0.45,0.05,4
4.187500000000083,3.5894234293222933,False,True,collision,False,3,0.45,0.55,0.03,4
5.862499999999987,1.6644018513752399,False,True,collision,False,3,0.45,0.55,0.05,2
10.137499999999745,0.09991429506918763,True,False,goal_reached,False,3,0.45,0.55,0.05,0
7.487499999999895,1.6478638496538165,False,True,collision,False,3,0.45,0.55,0.05,4
4.204166666666748,3.6937136882592934,False,True,collision,False,3,0.45,0.55,0.07,0
7.7833333333332115,1.8340846780914515,False,True,collision,False,3,0.45,0.55,0.05,3
4.833333333333379,3.5879750879942636,False,True,collision,False,3,0.45,0.45,0.03,1
8.841666666666486,0.09931335790808274,True,False,goal_reached,False,3,0.45,0.55,0.05,1
6.179166666666636,1.3504124033646938,False,True,collision,False,3,0.45,0.55,0.07,3
7.874999999999873,1.9631430940752617,False,True,collision,False,3,0.45,0.55,0.07,1
4.9041666666667085,3.88273534193023,False,True,collision,False,3,0.45,0.55,0.07,4
2.033333333333329,5.6845032112053655,False,True,collision,False,3,0.45,0.65,0.03,2
2.6875000000000284,5.7920762110904,False,True,collision,False,3,0.45,0.65,0.03,1
2.1958333333333373,5.439992704461367,False,True,collision,False,3,0.45,0.65,0.03,3
10.891666666666369,0.09936403771270495,True,False,goal_reached,False,3,0.45,0.55,0.07,2
2.470833333333351,5.61610006756316,False,True,collision,False,3,0.45,0.65,0.05,1
2.475000000000018,5.443228211755272,False,True,collision,False,3,0.45,0.65,0.05,2
4.175000000000083,3.356565274734513,False,True,collision,False,3,0.45,0.65,0.05,0
6.2333333333333,1.4492742728625951,False,True,collision,False,3,0.45,0.65,0.05,4
5.125000000000029,3.6567331258174813,False,True,collision,False,3,0.45,0.65,0.07,0
8.216666666666521,1.8666026298862273,False,True,collision,False,3,0.45,0.65,0.07,1
4.595833333333393,3.820526080507892,False,True,collision,False,3,0.45,0.65,0.05,3
8.933333333333147,0.0987714989957768,True,False,goal_reached,False,3,0.45,0.65,0.07,2
7.916666666666537,0.16064258494542955,False,False,path_finished,False,3,0.45,0.65,0.07,3
2.200000000000004,5.441468789913477,False,True,collision,False,3,0.45,0.75,0.03,0
3.929166666666757,3.947420696101086,False,True,collision,False,3,0.45,0.65,0.07,4
7.57499999999989,0.09998061708050592,True,False,goal_reached,False,3,0.45,0.75,0.03,1
3.454166666666733,3.9926395855537824,False,True,collision,False,3,0.45,0.75,0.03,3
3.095833333333382,5.152439756987092,False,True,collision,False,3,0.45,0.45,0.07,1
7.970833333333201,0.09937659720962835,True,False,goal_reached,False,3,0.45,0.75,0.03,2
3.4458333333333995,3.9365999464183323,False,True,collision,False,3,0.45,0.75,0.05,1
